;"Generated by FINAN XBRL Taxonomy Viewer v4.4.1"
;"Taxonomy: FinkRptFinancieringsaanvraag"

"Sort";"ID";"Level";"Label en";"Label nl";"PreferredLabelRole";"ElementName";"NamespaceAlias";"FinanVarName";"Url";"SubstitutionGroup";"UseCount";"IsTuple";"IsTupleKey";"IsInThisTuple";"TupleDepth";"TupleInstanceOrder";"MinTupleInstances";"MaxTupleInstances";"ElementType";"ShortElementType";"BaseType";"DataType (FMT4)";"InputRequired";"Pattern";"Enumeration";"FractionDigits";"TotalDigits";"Length";"MinLength";"MaxLength";"MinInclusive";"MaxInclusive";"MinExclusive";"MaxExclusive";"PeriodType";"Balance";"Abstract";"Nillable";"Documentation en";"Documentation nl";"Ddef.Guidance en";"Ddef.Guidance nl";"References"
11;"venj-bw2-i:Receivables";4;"         Receivables";"         Vorderingen";"";"Receivables";"venj-bw2-i";"Receivables";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Receivables";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 3, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 3|Article: 370, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 429, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Article: 432, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: 222, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving|Chapter: B5, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 101"
12;"venj-bw2-i:Securities";4;"         Securities";"         Effecten";"";"Securities";"venj-bw2-i";"Securities";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Securities";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 3|Article: 371, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 226, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 306|Chapter: 226, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving|Chapter: 305, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 904|Chapter: B6, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 101"
13;"venj-bw2-i:CashAndCashEquivalents";4;"         Cash and cash equivalents";"         Liquide middelen";"";"CashAndCashEquivalents";"venj-bw2-i";"CashAndCashEquivalents";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#CashAndCashEquivalents";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 3|Article: 372, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 433, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: 228, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 101|Chapter: 228, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving"
14;"venj-bw2-i:AssetsCurrent";4;"         Current assets";"         Vlottende activa";"";"AssetsCurrent";"venj-bw2-i";"AssetsCurrent";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#AssetsCurrent";"xbrli:item";2;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 190, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 206|Chapter: A2, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 105"
15;"venj-bw2-i:Assets";3;"      Assets";"      Activa";"";"Assets";"venj-bw2-i";"Assets";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Assets";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Debit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Chapter: 115, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 102"
16;"kvk-abstr:EquityAndLiabilitiesTitle";2;"   Equity and liabilities [title]";"   Passiva [titel]";"";"EquityAndLiabilitiesTitle";"kvk-abstr";"EquityAndLiabilitiesTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#EquityAndLiabilitiesTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
17;"kvk-abstr:EquityTitle";3;"      Equity [title]";"      Eigen vermogen [titel]";"";"EquityTitle";"kvk-abstr";"EquityTitle";"http://www.nltaxonomie.nl/10.0/report/kvk/abstracts/kvk-abstracts#EquityTitle";"sbr:presentationItem";1;0;0;;"0";"0";"0";"0";"xbrli:stringItemType";"string";"xbrli:stringItemType";"Abstract";"0";;;;;;;;;;;;"Duration";"None";1;0;"";"";"";"";""
18;"venj-bw2-i:ShareCapital";4;"         Share capital";"         Aandelenkapitaal";"";"ShareCapital";"venj-bw2-i";"ShareCapital";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#ShareCapital";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: a|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 2|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 203|Chapter: B8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 104"
19;"venj-bw2-i:SharePremium";4;"         Share premium";"         Agio";"";"SharePremium";"venj-bw2-i";"SharePremium";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#SharePremium";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: b|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 218|Chapter: B8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 108"
20;"venj-bw2-i:LegalReserves";4;"         Legal reserves";"         Wettelijke reserves";"";"LegalReserves";"venj-bw2-i";"LegalReserves";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#LegalReserves";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: d|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 229|Chapter: B8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 113"
21;"venj-bw2-i:StatutoryReserves";4;"         Statutory reserves";"         Statutaire reserves";"";"StatutoryReserves";"venj-bw2-i";"StatutoryReserves";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#StatutoryReserves";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: e|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 233|Chapter: B8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 117"
22;"venj-bw2-i:ReservesOther";4;"         Other reserves";"         Overige reserves";"";"ReservesOther";"venj-bw2-i";"ReservesOther";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#ReservesOther";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: f|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 234|Chapter: B8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 118"
23;"venj-bw2-i:RetainedEarnings";4;"         Retained earnings";"         Onverdeelde winst";"";"RetainedEarnings";"venj-bw2-i";"RetainedEarnings";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#RetainedEarnings";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: g|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 236"
24;"venj-bw2-i:ResultForTheYear";4;"         Result for the year";"         Resultaat van het boekjaar";"";"ResultForTheYear";"venj-bw2-i";"ResultForTheYear";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#ResultForTheYear";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 11, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1, Subparagraph: g|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 236|Chapter: A8, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 103"
25;"venj-bw2-i:Equity";4;"         Equity";"         Eigen vermogen";"";"Equity";"venj-bw2-i";"Equity";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Equity";"xbrli:item";2;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 10, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 4|Article: 373, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 378, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 429, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: 115, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 102|Chapter: 240, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving"
26;"venj-bw2-i:Provisions";3;"      Provisions";"      Voorzieningen";"";"Provisions";"venj-bw2-i";"Provisions";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#Provisions";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit jaarrekening banken|Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Article: 364, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 4|Article: 374, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2, Paragraph: 1|Article: 429, IssueDate: 2015-01-01, Name: Burgerlijk wetboek boek 2|Chapter: 115, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 105|Chapter: 252, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 501|Chapter: B10, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 109"
27;"venj-bw2-i:LiabilitiesNoncurrent";3;"      Non-current liabilities (exceeding one year)";"      Langlopende schulden (nog voor meer dan een jaar)";"";"LiabilitiesNoncurrent";"venj-bw2-i";"LiabilitiesNoncurrent";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#LiabilitiesNoncurrent";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Chapter: 115, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 105|Chapter: 254, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 303|Chapter: B9, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 201"
28;"venj-bw2-i:LiabilitiesCurrent";3;"      Current liabilities (up to one year)";"      Kortlopende schulden (ten hoogste 1 jaar)";"";"LiabilitiesCurrent";"venj-bw2-i";"LiabilitiesCurrent";"http://www.nltaxonomie.nl/10.0/basis/venj/items/venj-bw2-data#LiabilitiesCurrent";"xbrli:item";1;0;0;;"0";"0";"0";"0";"nl-types:monetaryNoDecimalsItemType";"monetaryNoDecimals";"nl-types:monetary20ItemType";"Monetary";"0";"";"";"0";"";"";"";"";"";"";"";"";"Instant";"Credit";0;0;"";"";"";"";"Article: 1, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening|Article: 5, IssueDate: 2015-01-01, Name: Besluit modellen jaarrekening, Paragraph: 1|Chapter: 115, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 105|Chapter: 254, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving, Paragraph: 303|Chapter: B9, IssueDate: 2015-01-01, Name: Richtlijnen voor de jaarverslaggeving voor kleine rechtspersonen, Paragraph: 301"
