COMPONENT;KEY;EN;NL;FR
DEF;"Het ontvangstpatroon kan alleen worden ingevoerd bij de ""Prognosevariabelen"" of via een Omzet-Optie";The pattern can only be entered in the ‘Forecasting Variables’ or in an ‘Option’;Het ontvangstpatroon kan alleen worden ingevoerd bij de ‘Prognosevariabelen’ of via een Omzet-Optie;
DEF;"Hoort nul te zijn, er ontbreken anders misschien winstuitkeringen, opnamen of stortingen.|Een bedrag kan worden geaccepteerd door hieronder ""ja"" in te vullen.";Should be zero, if not - profit distribution, withdrarwal or deposit could be missing.<br />A value can be approved by entering ‘yes’ (below).;Hoort nul te zijn, er ontbreken anders misschien winstuitkeringen, opnamen of stortingen.<br />Een bedrag kan worden geaccepteerd door hieronder ‘ja’ in te vullen.;
DEF;"Moet "".."" zijn, anders is er een verschil in de vermogensaansluiting. Druk in dat geval op op Alt-»";Should be zero, otherwise, the Net Worth Reconciliation does not balance. In that case, press Alt-Â».;Moet ‘..’ zijn, anders is er een verschil in de vermogensaansluiting. Druk in dat geval op op Alt-»;
DEF;"Moet "".."" zijn, anders is er een verschil in de vermogensaansluiting. Druk in dat geval op op Alt-Â»";Should be zero, otherwise, the Net Worth Reconciliation does not balance. In that case, press Alt-Â».;Moet ‘..’ zijn, anders is er een verschil in de vermogensaansluiting. Druk in dat geval op op Alt-Â»;
DEF;"Start het importeren van uit de folder """"%s1""""";Start import from folder ‘%s1’;Start het importeren van uit de folder ‘%s1’;
DEF;(=Mutatie rekening courant);(=Change in current account);(=Mutatie rekening courant);
DEF;(Achtergesteld);(Subordinated);(Achtergesteld);
DEF;(Annuïteit);(Annuity);(Annuïteit);
DEF;(De)/Consolidaties;(De)-/Consolidations;(De)/Consolidaties;
DEF;(Des)investering;Investments and divestments;(Des)investering;
DEF;(Des)investering/Aflossingen;In-/divestements and repayments;(Des)investering/Aflossingen;
DEF;(Des)investeringen;Investments/Divestments;(Des)investeringen;
DEF;(Des)investeringen/aflossingen;(Di-)investments/Repayments;(Des)investeringen/aflossingen;
DEF;(exclusief financial lease);(excluding financial lease);(exclusief financial lease);
DEF;(gegroepeerd);(pooled);(gegroepeerd);
DEF;(Gewaardeerde) huur;(Valued) rent;(Gewaardeerde) huur;
DEF;(jaarbasis);(yearly basis);(jaarbasis);
DEF;(Kredietinstellingen);(Credit institutions);(Kredietinstellingen);
DEF;(mnd.);(months);(mnd.);
DEF;(neg=tekort);(neg=shortfall);(neg=tekort);
DEF;(nog te betalen);(accruals);(nog te betalen);
DEF;(onderdeel van kort vreemd vermogen);(part of short term debt);(onderdeel van kort vreemd vermogen);
DEF;(Overige);(Other);(Overige);
DEF;(overlopend);(accrued);(overlopend);
DEF;(Stille) verp.;(Undisclosed) pledge;(Stille) verp.;
DEF;(Stille) verp.bedrijfsuitr.;(Undisclosed) pledged company equipment;(Stille) verp.bedrijfsuitr.;
DEF;(Stille) verp.boekvord.;(Undisclosed) pledged registered receivables;(Stille) verp.boekvord.;
DEF;(Stille) verp.voertuigen;(Undisclosed) pledged transportation equipment;(Stille) verp.voertuigen;
DEF;(Stille) verp.voorraden;(Undisclosed) pledged inventories;(Stille) verp.voorraden;
DEF;(Un)qualified figures;(un)qualified figures;(Un)qualified figures;
DEF;(vooruitbetaling);(prepayment);(vooruitbetaling);
DEF;(WOZ);(WOZ);(WOZ);
DEF;{U>}{OndWerkTermijn[Title]:0}{<U} is een activiteitsratio;{U>}{OndWerkTermijn[Title]:0}{<U} is an activity ratio;{U>}{OndWerkTermijn[Title]:0}{<U} is een activiteitsratio;
DEF;% groei op jaarbasis wordt doorverwerkt, seizoenspatroon in post blijft intact;Annual growth % is continued, season patterns are continued;% groei op jaarbasis wordt doorverwerkt, seizoenspatroon in post blijft intact;
DEF;% inflatie wordt doorverwerkt, bestaande seizoenspatroon in post blijft intact;Growth equals the inflation rate, season patterns are continued;% inflatie wordt doorverwerkt, bestaande seizoenspatroon in post blijft intact;
DEF;% van de winst;% of profit;% van de winst;
DEF;%s1 imported, renamed to %s2;%s1 imported, renamed to %s2;%s1 imported, renamed to %s2;
DEF;%s1 is een activiteitsratio;%s1 is an activity ratio;%s1 is een activiteitsratio;
DEF;%s1 is een maatstaf voor liquiditeit.;The %s1 is a measure of liquidity.;%s1 is een maatstaf voor liquiditeit.;
DEF;<-10 >-15 : >10 en <=15 %punten beneden de norm;<-10 >-15 : >10 en <=15 %points below norm;<-10 >-15 : >10 en <=15 %punten beneden de norm;
DEF;<-15: >15 %punten beneden de norm;<-15: >15 %points below norm;<-15: >15 %punten beneden de norm;
DEF;<-5>-10 : >5 en <=10 %punten beneden de norm;<-5>-10 : >5 en <=10 %points below norm;<-5>-10 : >5 en <=10 %punten beneden de norm;
DEF;>-5<5 : maximaal 5% punten boven of beneden de norm;>-5<5 : maximal 5% points above or below norm;>-5<5 : maximaal 5% punten boven of beneden de norm;
DEF;>15 : >=15 %punten boven de norm;>15 : >=15 %points above norm;>15 : >=15 %punten boven de norm;
DEF;>5 <15: >5 en <=15 %punten boven de norm;>5 <15: >5 en <=15 %points above norm;>5 <15: >5 en <=15 %punten boven de norm;
DEF;|Definitief|Voorlopig;|Definitive|Preliminary/interim;|Definitief|Voorlopig;
DEF;|Geconsolideerd|Enkelvoudig;|Consolidated|Singular;|Geconsolideerd|Enkelvoudig;
DEF;|jaar|halfjaar||kwartaal||||||||maand;|year|half year||quarter||||||||month;|jaar|halfjaar||kwartaal||||||||maand;
DEF;|jaar|halfjaar||kwartaal||||||||maand|13x p.jaar;|year|half-year||quarter||||||||month|13x p.year;|jaar|halfjaar||kwartaal||||||||maand|13x p.jaar;
DEF;0:ChoicelistAnnualReportAuditCertificate;0:Geen - Geen verklaring|10:Sv. - Samenstellingsverklaring|20:Sv con. - Samenstellingsverklaring met continuïteitsdreiging|30:Gk bv. - Goedkeurende beoordelingsverklaring|40:Bv con. - Beoordelingsverklaring met vermelding van continuïteitsdreiging|50:Bv bep. - Beoordelingsverklaring met beperking|60:Afk bv. - Afkeurende beoordelingsverklaring|70:Gk av. - Goedkeurende accountantsverklaring|80:Gk av con. - Goedkeurende accountantsverklaring met vermelding van continuïteitsdreiging|90:Av bep. - Accountantsverklaring met beperking|100:Av oord. - Accountantsverklaring met oordeelsonthouding|110:Afk acc. - Afkeurende accountantsverklaring;0:Geen - Geen verklaring|10:Sv. - Samenstellingsverklaring|20:Sv con. - Samenstellingsverklaring met continuïteitsdreiging|30:Gk bv. - Goedkeurende beoordelingsverklaring|40:Bv con. - Beoordelingsverklaring met vermelding van continuïteitsdreiging|50:Bv bep. - Beoordelingsverklaring met beperking|60:Afk bv. - Afkeurende beoordelingsverklaring|70:Gk av. - Goedkeurende accountantsverklaring|80:Gk av con. - Goedkeurende accountantsverklaring met vermelding van continuïteitsdreiging|90:Av bep. - Accountantsverklaring met beperking|100:Av oord. - Accountantsverklaring met oordeelsonthouding|110:Afk acc. - Afkeurende accountantsverklaring;
DEF;0:ChoicelistDepartment_tpWagesForecast;11: No growth|10: No growth, no season pattern|1: Based on (a) number of paid staff and (b) increase of wages|3: Based on (a) number of paid staff|2: Based on (b) increase of wages|30: Growth related to net sales|32: Growth Related to Inflation Rate;11: Geen groei|10: Geen groei, geen seizoenspatroon|1: Gebaseerd op (a) aantal betaalde medewerkers en (b) loonstijging|3: Gebaseerd op (a) aantal betaalde medewerkers|2: Gebaseerd op (b) loonstijging|30: Voortzetting groei volgens netto omzet|32: Groei gerelateerd aan inflatie;
DEF;0:ChoicelistDepartment_WagesForecast;11: No growth|10: No growth, no season pattern|1: Based on (a) number of paid staff and (b) increase of wages|3: Based on (a) number of paid staff|2: Based on (b) increase of wages|30: Growth related to net sales|32: Growth Related to Inflation Rate;11: Geen groei|10: Geen groei, geen seizoenspatroon|1: Gebaseerd op (a) aantal betaalde medewerkers en (b) loonstijging|3: Gebaseerd op (a) aantal betaalde medewerkers|2: Gebaseerd op (b) loonstijging|30: Voortzetting groei volgens netto omzet|32: Groei gerelateerd aan inflatie;
DEF;0:ChoicelistFurnitureAndFixtures_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistFurnitureAndFixtures_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistGoodwill_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistGoodwill_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistLandAndBuildings_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistLandAndBuildings_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistOtherIntangibleFixedAssets_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistOtherIntangibleFixedAssets_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistOtherMaterialFixedAssets_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistOtherMaterialFixedAssets_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistPatentsTrademarksAndOtherRights_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistPatentsTrademarksAndOtherRights_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistPlantAndEquipment_ReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistPlantAndEquipment_tpReinvestmentsForecast;11: No reinvestment|52: Based on previous reinvestment|54: Based on previous reinvestment increased with relative growth of sales|50: Based on previous depreciation|53: Based on previous depreciation increased with relative growth of sales|51: Based on previous depreciation increased with relative growth of sales (only if previous investment is greater than zero);11: Geen herinvesteringen|52: Gebaseerd op voorgaande herinvestering|54: Gebaseerd op voorgaande herinvestering verhoogd met de relatieve omzetgroei|50: Gebaseerd op voorgaande afschrijving|53: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei|51: Gebaseerd op voorgaande afschrijving verhoogd met de relatieve omzetgroei (en voorgaande investering);
DEF;0:ChoicelistProjection_CapitalizedOwnProduction;12:Continuation Growth Previous Period|15:Growth Related to Inflation Rate|16:No Growth (Use Value Previous Year)|11:Repeat Value Previous Column (of most detailed timescale)|13:Link to Revenues (including Season Pattern behaviour of Revenues)|19:Growth Related to Revenues (keeps existing Season Pattern intact)|14:Growth Related to Cost Of Sales|18:No Value;12:Groei van voorgaande periode vorig jaar|15:Groei gerelateerd aan inflatie|16:Geen groei (gebruik waarde van jaar geleden)|11:Herhaal bedrag voorgaande kolom (op meest gedetailleerde tijdsbasis)|13:Gekoppeld aan de omzet (inclusief overname van seizoenspatroon omzet)|19:Groei gerelateerd aan omzet (bestaand seizoenspatroon blijft intact)|14:Groei gerelateerd aan inkoopwaarde verkopen|18:Geen waarde;
DEF;0:ChoicelistProjection_CostOfSales;12:Continuation Growth Previous Period|15:Growth Related to Inflation Rate|16:No Growth (Use Value Previous Year)|11:Repeat Value Previous Column (of most detailed timescale)|13:Link to Revenues (including Season Pattern behaviour of Revenues)|19:Growth Related to Revenues (keeps existing Season Pattern intact)|18:No Value;12:Groei van voorgaande periode vorig jaar|15:Groei gerelateerd aan inflatie|16:Geen groei (gebruik waarde van jaar geleden)|11:Herhaal bedrag voorgaande kolom (op meest gedetailleerde tijdsbasis)|13:Gekoppeld aan de omzet (inclusief overname van seizoenspatroon omzet)|19:Groei gerelateerd aan omzet (bestaand seizoenspatroon blijft intact)|18:Geen waarde;
DEF;0:ChoicelistProjection_OtherOperatingExpenses;12:Continuation Growth Previous Period|15:Growth Related to Inflation Rate|16:No Growth (Use Value Previous Year)|11:Repeat Value Previous Column (of most detailed timescale)|13:Link to Revenues (including Season Pattern behaviour of Revenues)|19:Growth Related to Revenues (keeps existing Season Pattern intact)|14:Growth Related to Cost Of Sales|18:No Value;12:Groei van voorgaande periode vorig jaar|15:Groei gerelateerd aan inflatie|16:Geen groei (gebruik waarde van jaar geleden)|11:Herhaal bedrag voorgaande kolom (op meest gedetailleerde tijdsbasis)|13:Gekoppeld aan de omzet (inclusief overname van seizoenspatroon omzet)|19:Groei gerelateerd aan omzet (bestaand seizoenspatroon blijft intact)|14:Groei gerelateerd aan inkoopwaarde verkopen|18:Geen waarde;
DEF;0:ChoicelistProjection_OtherOperatingIncome;12:Continuation Growth Previous Period|15:Growth Related to Inflation Rate|16:No Growth (Use Value Previous Year)|11:Repeat Value Previous Column (of most detailed timescale)|13:Link to Revenues (including Season Pattern behaviour of Revenues)|19:Growth Related to Revenues (keeps existing Season Pattern intact)|14:Growth Related to Cost Of Sales|18:No Value;12:Groei van voorgaande periode vorig jaar|15:Groei gerelateerd aan inflatie|16:Geen groei (gebruik waarde van jaar geleden)|11:Herhaal bedrag voorgaande kolom (op meest gedetailleerde tijdsbasis)|13:Gekoppeld aan de omzet (inclusief overname van seizoenspatroon omzet)|19:Groei gerelateerd aan omzet (bestaand seizoenspatroon blijft intact)|14:Groei gerelateerd aan inkoopwaarde verkopen|18:Geen waarde;
DEF;0:ChoicelistProjection_PersonnelExpenses;12:Continuation Growth Previous Period|15:Growth Related to Inflation Rate|16:No Growth (Use Value Previous Year)|11:Repeat Value Previous Column (of most detailed timescale)|13:Link to Revenues (including Season Pattern behaviour of Revenues)|19:Growth Related to Revenues (keeps existing Season Pattern intact)|14:Growth Related to Cost Of Sales|18:No Value;12:Groei van voorgaande periode vorig jaar|15:Groei gerelateerd aan inflatie|16:Geen groei (gebruik waarde van jaar geleden)|11:Herhaal bedrag voorgaande kolom (op meest gedetailleerde tijdsbasis)|13:Gekoppeld aan de omzet (inclusief overname van seizoenspatroon omzet)|19:Groei gerelateerd aan omzet (bestaand seizoenspatroon blijft intact)|14:Groei gerelateerd aan inkoopwaarde verkopen|18:Geen waarde;
DEF;0:ChoicelistRechtsvorm;1: Public limited company (Plc)|2: Limited liability company (Ltd)|3: Co-operative association|4: Onderlinge Waarborgmaatschappij|5: Foundation|6: Association|7: Religious community|11: General partnership|12: sole proprietorship|13: Limited partnership|14: Partnership|15: n.a.;1:Besloten Vennootschap|2:Naamloze Vennootschap|3:Coöperatieve Vereniging|4:Onderlinge Waarborgmaatschappij|5:Stichting|6:Vereniging|7:Kerkgenootschap|11:Vennootschap onder Firma (VOF)|12:Eenmanszaak|13:Commanditaire Vennootschap (CV)|14:Maatschap|15:n.v.t.;
