COMPONENT;KEY;EN;NL
k3;Datum is ongeldig.;Datum is ongeldig volgens formaat dd/mm/jjjj, bijvoorbeeld 01/01/2013.;Datum is ongeldig volgens formaat dd/mm/jjjj, bijvoorbeeld 01/01/2013.
k3;De ingevoerde waarde mag maximaal {0} tekens lang zijn.;De ingevoerde waarde mag maximaal {0} tekens lang zijn.;De ingevoerde waarde mag maximaal {0} tekens lang zijn.
k3;De ingevoerde waarde mag niet hoger zijn dan {0}.;De ingevoerde waarde mag niet hoger zijn dan {0}.;De ingevoerde waarde mag niet hoger zijn dan {0}.
k3;De ingevoerde waarde moet hoger zijn dan {0}.;De ingevoerde waarde moet hoger zijn dan {0}.;De ingevoerde waarde moet hoger zijn dan {0}.
k3;De ingevoerde waarde moet lager zijn dan {0}.;De ingevoerde waarde moet lager zijn dan {0}.;De ingevoerde waarde moet lager zijn dan {0}.
k3;De ingevoerde waarde moet minimaal {0} tekens lang zijn.;;De ingevoerde waarde moet minimaal {0} tekens lang zijn.
k3;De ingevoerde waarde moet minimaal {0} zijn.;De ingevoerde waarde moet minimaal {0} zijn.;De ingevoerde waarde moet minimaal {0} zijn.
k3;De ingevoerde waarde moet tussen {0} t/m {1} liggen.;De ingevoerde waarde moet tussen {0} t/m {1} liggen.;De ingevoerde waarde moet tussen {0} t/m {1} liggen.
k3;EWS;Early Warning System;Early Warning System
k3;EWSWS;Early Warning Signal Web Service;Early Warning Signal Web Service
k3;EXTERNAL_SYNC_CODE_001;Relatienummer (CLP) is niet bekend;Relatienummer (CLP) is niet bekend
k3;EXTERNAL_SYNC_CODE_002;Relatienummer (CLP) is niet uniek;Relatienummer (CLP) is niet uniek
k3;EXTERNAL_SYNC_CODE_003;Koppeling met systeem is niet beschikbaar;Koppeling met systeem is niet beschikbaar
k3;EXTERNAL_SYNC_CODE_901;De klant is niet gevonden;De klant is niet gevonden
k3;EXTERNAL_SYNC_CODE_990;Technische fout in aanroep van systeem;Technische fout in aanroep van systeem
k3;EXTERNAL_SYNC_CODE_991;Foutieve waarde in systeem;Foutieve waarde in systeem
k3;EXTERNAL_SYNC_CODE_992;Time-out op systeem;Time-out op systeem
k3;EXTERNAL_SYNC_CODE_993;De klant heeft meer rekeningen dan waarvoor KBM overstand gegevens kan ophalen.;De klant heeft meer rekeningen dan waarvoor KBM overstand gegevens kan ophalen.
k3;EXTERNAL_SYNC_CODE_994;Voor deze klant is GEEN data beschikbaar.;Voor deze klant is GEEN data beschikbaar.
k3;EXTERNAL_SYNC_CODE_997;U heeft geen rechten (access denied);U heeft geen rechten (access denied)
k3;EXTERNAL_SYNC_CODE_999;Technische fout;Technische fout
k3;EXTERNAL_SYNC_CODE_Customer not found;De klant is niet gevonden;De klant is niet gevonden
k3;FINDER;e-Finan;e-Finan
k3;Failed synchronizing data with {0}.;Het synchroniseren met {0} is mislukt.;Het synchroniseren met {0} is mislukt.
k3;Failed synchronizing data with {0}. Reason: {1};Het synchroniseren met {0} is mislukt. Reden: {1}.;Het synchroniseren met {0} is mislukt. Reden: {1}.
k3;Het invoeren van meer dan één komma is niet toegestaan.;Het invoeren van meer dan één komma is niet toegestaan.;Het invoeren van meer dan één komma is niet toegestaan.
k3;Het is enkel toegestaan getallen in te voeren.;Het is enkel toegestaan getallen in te voeren.;Het is enkel toegestaan getallen in te voeren.
k3;HistoricRiskRating;Historic Risk Rating (Vortex);Historic Risk Rating (Vortex)
k3;Naics;Branchecode (CCRM);Branchecode (CCRM)
k3;New data available;Er is nieuwe data beschikbaar.;Er is nieuwe data beschikbaar.
k3;No update available for service: {0};Geen update beschikbaar voor service: {0};Geen update beschikbaar voor service: {0}
k3;No update available.;Geen update beschikbaar.;Geen update beschikbaar.
k3;OneObligor;LOO (Vortex);LOO (Vortex)
k3;OverdraftMetrics;Overstanden (OBS);Overstanden (OBS)
K3;PartyRegistration;KvK (CLP);KvK (CLP)
K3;Reason: {0};Reden: {0};Reden: {0}
K3;Succesfully synchronized data with {0};Succesvol gesynchroniseerd met {0};Succesvol gesynchroniseerd met {0}
K3;Synchronization failed. An exception occurred during synchronization;Het synchroniseren is mislukt. Er is een fout opgetreden tijdens het synchroniseren.;Het synchroniseren is mislukt. Er is een fout opgetreden tijdens het synchroniseren.
K3;Synchronized correctly.;Synchronisatie is gelukt.;Synchronisatie is gelukt.
K3;Synchronizing with {0} ;Synchronisatie met {0};Synchronisatie met {0}
K3;Unable to check {0} for updates.;Niet mogelijk om {0} te controleren op updates.;Niet mogelijk om {0} te controleren op updates.
K3;Unable to check {0} for updates. Reason: {1};Niet mogelijk om {0} te controleren op updates. Reden {1};Niet mogelijk om {0} te controleren op updates. Reden {1}
K3;Unable to generate report;Het genereren van het rapport is mislukt. ;Het genereren van het rapport is mislukt. 
K3;Unknown result while synchronizing with {0};Het resultaat van de synchronisatie is onbekend;Het resultaat van de synchronisatie is onbekend
K3;Update available;Er is een update beschikbaar.;Er is een update beschikbaar.
K3;Update check failed. An exception occurred during check for update;Het controleren op updates is mislukt. Er is een fout opgetreden.;Het controleren op updates is mislukt. Er is een fout opgetreden.
scorecard;Update check failed. An exception occurred during check for update;Het controleren op updates is mislukt. Er is een fout opgetreden.;Het controleren op updates is mislukt. Er is een fout opgetreden.
K3;Update check failed. ReferenceId is not a number;Het controleren op updates is mislukt. Het relatienummer (CLP) is niet numeriek.;Het controleren op updates is mislukt. Het relatienummer (CLP) is niet numeriek.
K3;Update check failed. ReferenceId is not available;Het controleren op updates is mislukt. Het relatienummer (CLP) kon niet worden gevonden.;Het controleren op updates is mislukt. Het relatienummer (CLP) kon niet worden gevonden.
K3;ajax_unresponsive_server;Het contact met de server is onderbroken. Mogelijkerwijs heeft deze het erg druk of is er een sessie verlopen. U wordt nu doorverwezen naar de beginpagina.;Het contact met de server is onderbroken. Mogelijkerwijs heeft deze het erg druk of is er een sessie verlopen. U wordt nu doorverwezen naar de beginpagina.
K3;autoUnblockMessage;De bewerking heeft te lang geduurd, mogelijkerwijs is er iets mis gegaan. Probeer de pagina te herladen door op F5 te klikken.;De bewerking heeft te lang geduurd, mogelijkerwijs is er iets mis gegaan. Probeer de pagina te herladen door op F5 te klikken.
K3;bd-types:customDateItemType-pattern;Datum is ongeldig volgens formaat jjjj-mm-dd. De datum moet na 1 januari 1800 liggen.;Datum is ongeldig volgens formaat jjjj-mm-dd. De datum moet na 1 januari 1800 liggen.
K3;chop_titles;Lange titels afkappen;Lange titels afkappen
K3;copy_failed;Het kopiëren van de vragenlijst is niet gelukt;Het kopiëren van de vragenlijst is niet gelukt
K3;input;;Invoer
K3;input.finan_validator;;Invoer validatie
K3;makeYourChoice;Maak uw keuze;Maak uw keuze
K3;nl-types:emailItemType-pattern;Het ingevoerde e-mailadres is niet valide. Een e-mailadres behoort er als volgt uit te zien: naam@bedrijf.nl.;Het ingevoerde e-mailadres is niet valide. Een e-mailadres behoort er als volgt uit te zien: naam@bedrijf.nl.
K3;please_upload_first;Upload eerst het bestand;Upload eerst het bestand
K3;questionnaire.aanvraag;Aanvraag;Aanvraag
K3;questionnaire.assessment;Assessment;Assessment
K3;questionnaire.dummy;DUMMY;DUMMY
K3;questionnaire.ibaangifte;IB aangifte;IB aangifte
K3;questionnaire.ingklant;Klant;Klant
K3;questionnaire.ingscg3;Kredietaanvraagmodel;Kredietaanvraagmodel
K3;questionnaire.ingsctst;ING Scorecard TST;ING Scorecard TST
K3;questionnaire.ingverslag;Fiatdocument;Fiatdocument
K3;questionnaire.mkbmw;Switcher;Switcher
K3;questionnaire.offerte;Offerte;Offerte
K3;questionnaire.ratingsc;Rating;Rating
K3;questionnaire.revisie;Revisie;Revisie
K3;questionnaire.revisiegbi;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW
K3;questionnaire.revisiemkb;SBF Kredietrevisie;SBF Kredietrevisie
K3;questionnaire.revisiemkb2;Limietgebruik (PoC);Limietgebruik (PoC)
K3;questionnaire.risicorendement;R & R;R & R
K3;questionnaire.starter;Starter;Starter
K3;questionnaire_synchronization;Vragenlijst synchronisatie;Vragenlijst synchronisatie
K3;status_not_available;Er is geen status informatie beschikbaar.;Er is geen status informatie beschikbaar.
K3;sure_to_copy;Weet u zeker dat u een kopie van deze vragenlijst wilt maken?;Weet u zeker dat u een kopie van deze vragenlijst wilt maken?
K3;version_mismatch;Niet matchende versie;Niet matchende versie
K3;warning_uploads_without_server_restart;WAARSCHUWING: De server dient herstart te worden voordat alle hieronder weergegeven configuraties daadwerkelijk actief worden.;WAARSCHUWING: De server dient herstart te worden voordat alle hieronder weergegeven configuraties daadwerkelijk actief worden.
K3;your_changed_password_email_subject_finan_online;Uw wachtwoord om in te kunnen loggen op Finan Online;Uw wachtwoord om in te kunnen loggen op Finan Online
K3;your_password_email_subject_ing;Uw wachtwoord om in te kunnen loggen op {0};Uw wachtwoord om in te kunnen loggen op {0}
K3;close_dossier;Sluit vragenlijst;Sluit vragenlijst
scorecard;INGKLANT;Klant;Klant
scorecard;INGSCG3;Kredietaanvraag model;Kredietaanvraag model
scorecard;INGSCG3REV;Kredietrevisie GB&I;Kredietrevisie GB&I
scorecard;INGVERSLAG;Fiatdocument;Fiatdocument
scorecard;MKBMW;Switcher;Switcher
scorecard;REVISIE;Revisie;Revisie
scorecard;REVISIEGBI;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW
scorecard;REVISIEMKB;SBF Kredietrevisie;SBF Kredietrevisie
scorecard;Revisie MKB;SBF Kredietrevisie;SBF Kredietrevisie
scorecard;REVISIEMKB2;Limietgebruik (PoC);Limietgebruik (PoC)
scorecard;SCORECARDTESTMODEL;Scorecard Test Model;Scorecard Test Model
scorecard;STARTER;Starter;Starter
scorecard;Questionnaire;KBM 4.0;KBM 4.0
scorecard;Klant;Klant;Klant
scorecard;Fiatdocument;Fiatdocument;Fiatdocument
scorecard;Switcher;Switcher;Switcher
scorecard;Revisie;Revisie;Revisie
scorecard;close_dossier;Sluit vragenlijst;Sluit vragenlijst
scorecard;Starter;Starter;Starter
scorecard;Kredietaanvraagmodel;Kredietaanvraag model;Kredietaanvraag model
scorecard;conceptReport;Generate draft report;Concept rapportage
scorecard;SBF Kredietrevisie;SBF Kredietrevisie;SBF Kredietrevisie
scorecard;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW
scorecard;Kredietrevisie GB&I;Kredietrevisie GB&I;Kredietrevisie GB&I
service;INGKLANT;Klant;Klant
service;INGVERSLAG;Fiatdocument;Fiatdocument
service;MKBMW;Switcher;Switcher
service;REVISIE;Revisie;Revisie
service;STARTER;Starter;Starter
service;INGSCG3;Kredietaanvraag model;Kredietaanvraag model
service;REVISIEMKB;SBF Kredietrevisie;SBF Kredietrevisie
service;REVISIEMKB2;Limietgebruik (PoC);Limietgebruik (PoC)
service;REVISIEGBI;Revisie Pilot GB&I NW;Revisie Pilot GB&I NW
service;INGSCG3REV;Kredietrevisie GB&I;Kredietrevisie GB&I
K3;input;Invoer;Invoer
K3;input.finan_validator;Invoer validatie;Invoer validatie
K3;version_mismatch;Versie conflict;Versie conflict
crm;PagingNavigation.page;Huidige pagina;Huidige pagina
crm;PagingNavigator.last;Laatste pagina;Laatste pagina
crm;PagingNavigator.next;Volgende pagina;Volgende pagina
crm;about;Over;Over
crm;accountant;Accountant;Accountant
crm;ago;ago;ago
crm;applications_overview;Applicatie overzicht;Applicatie overzicht
crm;asc;Oplopend;Oplopend
crm;base_period;Basis periode;Basis periode
crm;base_period_month;Basis maand periode;Basis maand periode
crm;browser_advice_post;. Or to turn off ‘compatibility view’.;te gebruiken. Of sluit de ‘compatibiliteits modus’
crm;browser_advice_pre;We advise you to use the latest version of;Wij raden u aan om de laatste versie van
crm;browser_not_optimized;Unfortunately, our application is not optimized for your browser (and settings);Onze applicatie is helaas niet geoptimaliseerd voor uw huidige browser (en instellingen).
crm;cancel;Annuleren;Annuleren
crm;current_app;Huidige applicatie;Huidige applicatie
crm;customer;Cliënt;Cliënt
crm;customer_in_use;Cliënt bezet;Cliënt bezet
crm;customers;Cliënten;Cliënten
crm;delete;Verwijderen;Verwijderen
crm;desc;Aflopend;Aflopend
crm;first;Eerste;Eerste
crm;gebruiker;Gebruiker;Gebruiker
crm;go_to;Ga naar;Ga naar
crm;last;Laatste;Laatste
crm;loading;Bezig met laden;Bezig met laden
crm;logout;Uitloggen;Uitloggen
crm;manual;Handleiding;Handleiding
crm;name;Naam;Naam
crm;next;Volgende;Volgende
crm;or;Of;Of
crm;order_by;Sorteren op;Sorteren op
k3;page_navigation_page;{0};{0}
crm;page_size;Aantal;Aantal
crm;poweredBy;poweredBy;poweredBy
crm;prev;Vorige;Vorige
crm;releasenotes;Release notes;Release notes
crm;roles;Rollen;Rollen
crm;save;Bewaar;Bewaar
crm;sbi_placeholder;Type in a SBI code or description to get suggestions.;Type een SBI code of omschrijving om suggesties te krijgen 
crm;search;Zoek;Zoek
crm;select;Selecteer;Selecteer
crm;size;Size;Grootte
crm;step;Step;Stap
crm;type;Type;Type
crm;view_manual;View manual;Handleiding bekijken
crm;view_releasenotes;Release notes bekijken;Release notes bekijken
k3;De ingevoerde waarde moet minimaal {0} tekens lang zijn.;De ingevoerde waarde moet minimaal {0} tekens lang zijn.;De ingevoerde waarde moet minimaal {0} tekens lang zijn.
k3;Update available;Update beschikbaar;Update beschikbaar
scorecard;PagingNavigation.page;Go to page ${page}.;Ga naar pagina ${page}.
scorecard;PagingNavigator.first;Go to first page.;Ga naar de eerste pagina.
scorecard;PagingNavigator.last;Go to last page.;Ga naar de laatste pagina.
scorecard;PagingNavigator.next;Go to next page.;Ga naar de volgende pagina.
scorecard;PagingNavigator.previous;Go to previous page.;Ga naar de vorige pagina.
scorecard;Update available;Update beschikbaar;Update beschikbaar
scorecard;about;Over;Over
scorecard;accountant;Accountant;Accountant
scorecard;applications_overview;Applicatie overzicht;Applicatie overzicht
scorecard;browser_advice_post;. Or to turn off ‘compatibility view’.;te gebruiken. Of sluit de ‘compatibiliteits modus’
scorecard;browser_advice_pre;We advise you to use the latest version of;Wij raden u aan om de laatste versie van
scorecard;browser_not_optimized;Unfortunately, our application is not optimized for your browser (and settings);Onze applicatie is helaas niet geoptimaliseerd voor uw huidige browser (en instellingen).
scorecard;cancel;Annuleren;Annuleren
scorecard;close;Sluiten;Sluiten
scorecard;current_app;Huidige applicatie;Huidige applicatie
scorecard;customer;Cliënt;Cliënt
scorecard;customers;Cliënten;Cliënten
scorecard;date;Datum;Datum
scorecard;external_service_name_of_CRR;Credit Risk Rating (CCRM);Credit Risk Rating (CCRM)
scorecard;external_service_name_of_EWSWS;Early Warning Signal Web Service;Early Warning Signal Web Service
scorecard;external_service_name_of_FINDER;e-Finan;e-Finan
scorecard;external_service_name_of_HISTORICRISKRATING;Historic Risk Rating (Vortex);Historic Risk Rating (Vortex)
scorecard;external_service_name_of_NAICS;Branchecode (CCRM);Branchecode (CCRM)
scorecard;external_service_name_of_ONEOBLIGOR;LOO (Vortex);LOO (Vortex)
scorecard;external_service_name_of_OVERDRAFTMETRICS;Overstanden (OBS);Overstanden (OBS)
scorecard;external_service_name_of_PARTYREGISTRATION;KvK (CLP);KvK (CLP)
scorecard;gebruiker;gebruiker;Gebruiker
scorecard;go_to;to;Ga naar
scorecard;loading;loading;Laden
scorecard;logout;logout;Uitloggen
scorecard;manual;manual;Handleiding
scorecard;name;name;Naam
scorecard;next;next;Volgende
scorecard;or;or;Of
scorecard;page_size;size;Grootte
scorecard;poweredBy;poweredBy;poweredBy
scorecard;previous;previous;Vorige
scorecard;project;project;Project
scorecard;projects;projects;Projecten
scorecard;releasenotes;releasenotes;Release notes
scorecard;remove_tuple_action;Tuple verwijderen;Tuple verwijderen
scorecard;remove_tuple_description;Tuple beschrijving;Tuple beschrijving
scorecard;remove_tuple_title;Tuple titel;Tuple titel
scorecard;roles;Rollen;Rollen
scorecard;select;Selecteer;Selecteer
scorecard;select_bookyear_short;Selecteer boekjaar;Selecteer boekjaar
scorecard;status;Status;Status
scorecard;sure_to_copy_project;Weet u zeker dat u het project wilt kopiëren?;Weet u zeker dat u het project wilt kopiëren?
scorecard;view_manual;Handleiding bekijken;Handleiding bekijken
scorecard;view_releasenotes;Release notes bekijken;Release notes bekijken
service;and;En;En
service;days;Dagen;Dagen
service;hour;Uur;Uur
K3;Unknown result while synchronizing with {0};Resultaat onbekend;Resultaat onbekend
K3;input;Invoer;Invoer
K3;input.finan_validator;Invoer validatie;Invoer validatie
K3;version_mismatch;Niet te matchen versie;Niet te matchen versie
crm;PagingNavigation.page;Go to page {0}.;Ga naar pagina {0}.
crm;PagingNavigator.last;Go to last page.;Ga naar de laatste pagina.
crm;PagingNavigator.next;Go to next page.;Ga naar de volgende pagina.
crm;about;Over;Over
crm;accountant;Accountant;Accountant
crm;ago;Geleden;Geleden
crm;applications_overview;Applicatie overzicht;Applicatie overzicht
crm;asc;Oplopend;Oplopend
crm;base_period;Basis periode;Basis periode
crm;base_period_month;Basis maand periode;Basis maand periode
crm;browser_advice_post;. Or to turn off ‘compatibility view’.;te gebruiken. Of sluit de ‘compatibiliteits modus’
crm;browser_advice_pre;We advise you to use the latest version of;Wij raden u aan om de laatste versie van
crm;browser_not_optimized;Unfortunately, our application is not optimized for your browser (and settings);Onze applicatie is helaas niet geoptimaliseerd voor uw huidige browser (en instellingen).
crm;cancel;Annuleren;Annuleren
crm;current_app;Huidige applicatie;Huidige applicatie
crm;customer;Cliënt;Cliënt
crm;customer_in_use;Cliënt in gebruik;Cliënt in gebruik
crm;customers;Cliënten;Cliënten
crm;delete;Verwijderen;Verwijderen
crm;desc;Aflopend;Aflopend
crm;first;Eerste;Eerste
crm;gebruiker;Gebruiker;Gebruiker
crm;go_to;Ga naar;Ga naar
crm;last;Laatste;Laatste
crm;loading;Laden;Laden
crm;logout;Uitloggen;Uitloggen
crm;manual;Handleiding;Handleiding
crm;name;Naam;Naam
crm;next;Volgende;Volgende
crm;or;Of;Of
crm;order_by;Sorteren op;Sorteren op
crm;page_size;Grootte;Grootte
crm;poweredBy;Powered By;Powered by
crm;prev;Vorige;Vorige
crm;releasenotes;Release notes;Release notes
crm;roles;Rollen;Rollen
crm;save;Opslaan;Opslaan
crm;sbi_placeholder;SBI code;SBI code
crm;search;Zoeken;Zoeken
crm;select;Selecteer;Selecteer
crm;size;Grootte;Grootte
crm;step;Stap;Stap
crm;type;Type;Type
crm;view_manual;Bekijk handleiding;Bekijk handleiding
crm;view_releasenotes;Release notes bekijken;Release notes bekijken
k3;De ingevoerde waarde moet minimaal {0} tekens lang zijn.;De ingevoerde waarde moet minimaal {0} tekens lang zijn.;De ingevoerde waarde moet minimaal {0} tekens lang zijn.
k3;Update available;Er is een update beschikbaar.;Er is een update beschikbaar.
scorecard;PagingNavigator.first;Ga naar de eerste pagina.;Ga naar de eerste pagina.
scorecard;PagingNavigator.last;Ga naar de laatste pagina.;Ga naar de laatste pagina.
scorecard;PagingNavigator.next;Ga naar de volgende pagina.;Ga naar de volgende pagina.
scorecard;PagingNavigator.previous;Ga naar de vorige pagina.;Ga naar de vorige pagina.
scorecard;Update available;Update beschikbaar;Update beschikbaar
scorecard;about;Over ;Over
scorecard;accountant;Accountant;Accountant
scorecard;applications_overview;Applicatie overzicht;Applicatie overzicht
scorecard;browser_advice_post;. Or to turn off ‘compatibility view’.;te gebruiken. Of sluit de ‘compatibiliteits modus’
scorecard;browser_advice_pre;We advise you to use the latest version of;Wij raden u aan om de laatste versie van
scorecard;browser_not_optimized;Unfortunately, our application is not optimized for your browser (and settings);Onze applicatie is helaas niet geoptimaliseerd voor uw huidige browser (en instellingen).
scorecard;cancel;Annuleren;Annuleren
scorecard;close;Sluiten;Sluiten
scorecard;current_app;Huidige applicatie;Huidige applicatie
scorecard;customer;Cliënt;Cliënt
scorecard;customers;Cliënten;Cliënten
scorecard;date;Datum;Datum
scorecard;external_service_name_of_CRR;Credit Risk Rating (CCRM);Credit Risk Rating (CCRM)
scorecard;external_service_name_of_EWSWS;Early Warning Signal Web Service;Early Warning Signal Web Service
scorecard;external_service_name_of_FINDER;e-Finan;e-Finan
scorecard;external_service_name_of_HISTORICRISKRATING;Historic Risk Rating (Vortex);Historic Risk Rating (Vortex)
scorecard;external_service_name_of_NAICS;Branchecode (CCRM);Branchecode (CCRM)
scorecard;external_service_name_of_ONEOBLIGOR;LOO (Vortex);LOO (Vortex)
scorecard;external_service_name_of_OVERDRAFTMETRICS;Overstanden (OBS);Overstanden (OBS)
scorecard;external_service_name_of_PARTYREGISTRATION;KvK (CLP);KvK (CLP)
scorecard;gebruiker;Gebruiker;Gebruiker
scorecard;go_to;Ga naar;Ga naar
scorecard;loading;Bezig met laden;Bezig met laden
scorecard;logout;Uitloggen;Uitloggen
scorecard;manual;Handleiding;Handleiding
scorecard;name;Naam;Naam
scorecard;next;Volgende;Volgende
scorecard;or;Of;Of
scorecard;page_size;Grootte;Grootte
scorecard;poweredBy;Powered By;Powered by
scorecard;previous;Vorige;Vorige
scorecard;project;Project;Project
scorecard;projects;Projecten;Projecten
scorecard;releasenotes;Release notes;Release notes
scorecard;remove_tuple_action;Tuple verwijderen;Tuple verwijderen
scorecard;remove_tuple_description;Tuple beschrijving;Tuple beschrijving
scorecard;remove_tuple_title;Tuple titel;Tuple titel
scorecard;roles;Rollen;Rollen
scorecard;select;Selecteer;Selecteer
scorecard;select_bookyear_short;Selecteer kort boekjaar;Selecteer kort boekjaar
scorecard;status;Status;Status
scorecard;sure_to_copy_project;Weet u zeker dat u een kopie van deze vragenlijst wilt maken?;Weet u zeker dat u een kopie van deze vragenlijst wilt maken?
scorecard;view_manual;Bekijk handleiding;Bekijk handleiding
scorecard;view_releasenotes;Bekijk release notes;Bekijk release notes
service;and;En;En
service;days;Dagen ;Dagen
service;hour;Uur;Uur
scorecard;Synchronization failed An exception occurred during synchronization;Het synchroniseren is mislukt. Er is een fout opgetreden tijdens het synchroniseren.;Het synchroniseren is mislukt. Er is een fout opgetreden tijdens het synchroniseren.
crm;crm-referenceidtextfield.Required;referenceidtextfield.Required;U dient een Relatienummer (CLP) in te voeren!
crm;files;Beheer;Beheer
crm;xref_code;Code;Code
crm;update;Update;Update
crm;openDocumentOverview;Details;Details
crm;modifiedDate;Modified;Bijgewerkt
crm;in_memory;In memory;In geheugen
crm;download_document;Download document;Download document
crm;customer_referenceid;Relatienummer (CLP);Relatienummer (CLP)
crm;referenceid;Relatienummer (CLP);Relatienummer (CLP)
crm;updatelogpanel;External service log;Externe service log
k3;double_login_exception;There is already an existing session for user [{0}]. Please close any existing browser sessions for this user, then after 2-3 minutes a new session should be available again.;Er is al een bestaande sessie voor gebruiker [{0}]. sluit alle browservensters waarin de applicatie is geopend voor deze gebruiker, na 2-3 minuten zal er dan weer een nieuwe sessie beschikbaar zijn .
DEF;Klant;Klant;Klant
crm;INGSCG3REVMKB;SME Kredietrevisie;SME Kredietrevisie
scorecard;INGSCG3REVMKB;SME Kredietrevisie;SME Kredietrevisie
service;INGSCG3REVMKB;SME Kredietrevisie;SME Kredietrevisie
scorecard;SME Kredietrevisie MKB;SME Kredietrevisie;SME Kredietrevisie
crm;INGSCG3REVCOV;Toetsen Financiële Ratio's;Toetsen Financiële Ratio's
scorecard;INGSCG3REVCOV;Toetsen Financiële Ratio's;Toetsen Financiële Ratio's
service;INGSCG3REVCOV;Toetsen Financiële Ratio's;Toetsen Financiële Ratio's
scorecard;Financiele convenanten;Toetsen Financiële Ratio's;Toetsen Financiële Ratio's
k3;copy;Copy;Kopieer
