COMPONENT;KEY;EN;NL;
DEF;0:Please choose|10:CJ|101:Customer client company or institution|102:Customer customer bankruptcy|11:Spec. samenwerkingsverb.|12:Sole Proprietorship|13:Informal association|14:Shipping company|15:Partnership|16:General partnership|17:Limited partnership (one partner)|18:Limited partnership (more partner)|19:owners Association|20:Association|21:Limited association|22:Foundation|23:Denomination|24:Denomination not Enabled.|25:Cooperative|26:OWM|27:Public limited company (Plc)|28:Public limited company (Plc) i.o.|29:Limited liability company (Ltd)|30:Limited liability company (Ltd) i.o.|31:Foreign business|32:Foreign business|33:EU foreign business|34:Foreign NV|35:Foreign BV|36:Other foreign|37:Publ. right. organ|38:EEIG|40:Mini enterprise|41:OV with legal personality|42:CV with legal personality|43:Quiet Company|44:Establishment of department|998:Internal side|999:To be determined;0:Please choose|10:CJ|101:Customer client company or institution|102:Customer customer bankruptcy|11:Spec. samenwerkingsverb.|12:Sole Proprietorship|13:Informal association|14:Shipping company|15:Partnership|16:General partnership|17:Limited partnership (one partner)|18:Limited partnership (more partner)|19:owners Association|20:Association|21:Limited association|22:Foundation|23:Denomination|24:Denomination not Enabled.|25:Cooperative|26:OWM|27:Public limited company (Plc)|28:Public limited company (Plc) i.o.|29:Limited liability company (Ltd)|30:Limited liability company (Ltd) i.o.|31:Foreign business|32:Foreign business|33:EU foreign business|34:Foreign NV|35:Foreign BV|36:Other foreign|37:Publ. right. organ|38:EEIG|40:Mini enterprise|41:OV with legal personality|42:CV with legal personality|43:Quiet Company|44:Establishment of department|998:Internal side|999:To be determined;0:Maak een keuze|10:CJ|101:Klant van klant bedrijf of instelling|102:Klant van klant faillissement|11:Spec. samenwerkingsverb.|12:Eenmanszaak|13:Informele vereniging|14:Rederij|15:Maatschap|16:VOF|17:CV een vennoot|18:CV meer vennoten|19:vereniging van eigenaren|20:Vereniging|21:Beperkte vereniging|22:Stichting|23:Kerkgenootschap|24:Kerkgenootschap niet ingesch.|25:Cooperatie|26:OWM|27:BV|28:BV i.o.|29:NV|30:NV i.o.|31:Buitenlands bedrijf|32:Buitenlands bedrijf|33:Buitenlands EG-bedrijf|34:Buitenlandse NV|35:Buitenlandse BV|36:Overig Buitenlands|37:Publ. recht. orgaan|38:EESV|40:Mini onderneming|41:OV met rechtspersoonlijkheid|42:CV met rechtspersoonlijkheid|43:Stille Vennootschap|44:Vestiging of afdeling|998:Interne kant|999:Nog nader te bepalen;
DEF;0:Slight|1:Moderate|2:Neutral|3:Strong|4:Very Strong;0:Slight|1:Moderate|2:Neutral|3:Strong|4:Very Strong;0:Gering|1:Matig|2:Neutraal|3:Sterk|4:Zeer Sterk;
DEF;0:Succession is risky|1:Succession is regulated;0:Succession is risky|1:Succession is regulated;0:Opvolging is riskant|1:Opvolging is geregeld;
DEF;0:Poorly|1:Insufficient|2:Sufficient|3:Good|4:Very Good;1:Poorly|2:Insufficient|3:Sufficient|4:Good|5:Very Good;1:Slecht|2:Onvoldoende|3:Voldoende|4:Goed|5:Heel goed;
DEF;0:Bad|1:Ineffectual|2:Capable|3:Good|4:Very good|5:Please choose;1:Bad|2:Ineffectual|3:Capable|4:Good|5:Very good|Please choose;1:Slecht|2:Onvoldoende|3:Voldoende|4:Goed|5:Heel goed|Maak keuze;
DEF;0:No|1:Yes|2:Please choose;0:No|1:Yes|2:Please choose;0:Nee|1:Ja|2:Maak keuze;
DEF;0:No|1:Yes;0:No|1:Yes;0:Nee|1:Ja;
DEF;0:Yes|1:No;0:Yes|1:No;0:Ja|1:Nee;
DEF;1:No|0:Yes;1:No|0:Yes;1:Nee|0:ja;
DEF;Debtor;Debtor;Debiteur;
DEF;Management Structure;Management Structure;Management Structuur;
DEF;Is;Is;In welke mate is;
DEF;able to Plan activities and results; able to Plan activities and results; in staat om activiteiten en resultaten te Plannen?;
DEF;able to Monitor activities and results; able to Monitor activities and results; in staat om activiteiten en resultaten te Monitoren?;
DEF;able to Control activities and results; able to Control activities and results; in staat om activiteiten en resultaten te Controleren?;
DEF;Please specify additional information about management;Please specify additional information about management;Toelichting over de achtergrond van het management team;
DEF;Formation of management;Formation of management;Samenstelling Management;
DEF;Name;Name;Naam bestuurslid;
DEF;Function;Function;Functie;
DEF;Years of Experience;Years of Experience;Hoeveel jaren ervaring;
DEF;Please give information about the background of the boardmember;Please give information about the background of the boardmember;Toelichting over de achtergrond van het bestuurslid;
DEF;Are you able to rate this member? (scale 1-5);Are you able to rate this member? (scale 1-5);Geef een inschatting van de kwaliteit van het bestuurslid;
DEF;Add key members of board;Add key members of board;Voeg bestuurslid toe;
DEF;Risk analysis (OLPAMO);Risk analysis (OLPAMO);Ondernemers risico’s analyse (OLPAMO);
DEF;Entrepreneur / management;Entrepreneur / management;Ondernemer / Management;
DEF;See score management structure;See score management structure;Zie score management structuur;
DEF;Suppliers;Suppliers;Leveranciers;
DEF;0:Make choice|1:1 or 2|2:3 to 5|3:6 or more;0:Make choice|1:1 or 2|2:3 to 5|3:6 or more;0:Maak keuze|1:1 of 2|2:3 tot 5|3:6 of meer;
DEF;0:Make choice|1:Negative|2:Neutral|3:Positive;0:Make choice|1:Negative|2:Neutral|3:Positive;0:Maak keuze|1:Negatief|2:Neutraal|3:Positief;
DEF;0:Make choice|1:Slightly|2:Neutral|3:Highly;0:Make choice|1:Slightly|2:Neutral|3:Highly;0:Maak keuze|1:In geringe mate|2:Neutraal|3:In hoge mate;
DEF;0:Make choice|1:Slightly|2:Partially|3:Highly;0:Make choice|1:Slightly|2:Partially|3:Highly;0:Maak keuze|1:In geringe mate|2:Deels|3:In hoge mate;
DEF;Is there concentration and/or dependency on supplieres;Is there concentration and/or dependency on supplieres;Is er concentratie en/of afhankelijkheid van leveranciers;
DEF;Is this risky and or being mitigated?;Is this risky and or being mitigated?;Zijn de volgende punten risicovol en/of worden ze mitigeerd?;
DEF;Is this a risk?;Is this a risk?;Is een risico?;
DEF;Is this being mitigated?;Is this being mitigated?;Wordt gemitigeerd?;
DEF;Mitigated for other risks?;Mitigated for other risks?;Mitigant voor andere risico’s?;
DEF;Please give general information;Please give general information;Geef algemene toelichting;
DEF;Products and Services;Products and Services;Producten & diensten;
DEF;Efficiency: Is there any sign of carefull maintenance?;Efficiency: Is there any sign of carefull maintenance?;Efficiëntie: is er sprake van zorgelijke staat van onderhoud?;
DEF;Inventory: Is there any sign of obsolete inventory?;Inventory: Is there any sign of obsolete inventory?;Is er sprake van incourante voorraad?;
DEF;Inventory: Is the recent stock-ready product or commodity;Inventory: Is the recent stock-ready product or commodity;Is er recent, een toename geweest van de voorraad van gereed product of grondstoffen?;
DEF;Inventory: Is there an decrease in pricing towards commodities;Inventory: Is there an decrease in pricing towards commodities;Is er een toename van de schaarste en prijs van grondstoffen?;
DEF;Quality / IT / Distribution / Infrastructure;Quality / IT / Distribution / Infrastructure;Is er sprake van tekortkomingen in de kwaliteit en management van de IT, distributie of infrastructuur?;
DEF;Debtors;Debtors;Afnemers;
DEF;Concentration of dependable debtors?;Concentration of dependable debtors?;Is er sprake van concentratie of afhankelijkheid van 1 of meer afnemers?;
DEF;Currency risk?;Currency risk?;Is er sprake van valutarisico?;
DEF;Market;Market;Markt;
DEF;Is there a negative influence of economic enviroments;Is there a negative influence of economic enviroments;Wat is de invloed van de huidige economische omstandigheden?;
DEF;Sector prosperity according to ABN AMRO?;Sector prosperity according to ABN AMRO?;Wat is het sector inzicht van ABN AMRO?;
DEF;Increasing competetors and negative price changes?;Increasing competetors and negative price changes?;Is er sprake van toename concurrentie en of negatieve prijsontwikkeling?;
DEF;Other;Other;Overige;
DEF;Reason to doubt reputation of company?;Reason to doubt reputation of company?;Is er reden om te twijfelen aan de reputatie van de onderneming?;
DEF;Judicial processes in progress?;Judicial processes in progress?;Lopen er juridische procedures of geschillen?;
DEF;Does the company enjoy garanties?;Does the company enjoy garanties?;Worden er garanties gehanteerd tav betaling of verkoop?;
DEF;Is there sufficient attention to regulations such as quotas and subsidies?;Is there sufficient attention to regulations such as quotas and subsidies?;In hoeverre is er oog voor regelgeving zoals quota of subsidie reglementatie?;
DEF;Yes;Yes;Ja;
DEF;No;No;Nee;
DEF;Poorly;Poorly;Slecht;
DEF;Insufficient;Insufficient;Onvoldoende;
DEF;Sufficient;Sufficient;Voldoende;
DEF;Good;Good;Goed;
DEF;Very Good;Very Good;Heel goed;
DEF;Mitigates others;Mitigates others;Mitigeerd andere;
DEF;How many suppliers are there?;How many suppliers are there?;Aantal leveranciers;
DEF;The client can change suppliers quickly?;The client can change suppliers quickly?;De klant kan makkelijk wisselen van leveranciers;
DEF;Is stock kept?;Is stock kept?;Wordt er voorraad aangehouden;
DEF;How does the branche develop?;How does the branche develop?;Hoe ontwikkeld de branche zich;
DEF;Negative;Negative;Negatief;
DEF;Neutral;Neutral;Neutraal;
DEF;Positive;Positive;Positief;
DEF;Is the employeerecord stable?;Is the employeerecord stable?;Is het personeelsbestand stabiel?;
DEF;Give Explenation;Give Explanation;Geef algemene toelichting;
DEF;How does the customer develop within the branche;How does the customer develop within the branche;Hoe ontwikkeld de klant zich binnen de branche?;
DEF;Name Debtor;Name Debtor;Naam debiteur;
DEF;Limit;Limit;Limiet;
DEF;Outstanding;Outstanding;Uitstaand;
DEF;Make choice;Make choice;Maak keuze;
DEF;Followup;Followup;Opvolging;
DEF;CJ;CJ;CJ;
DEF;Customer client company or institution;Customer client company or institution;Klant van klant bedrijf of instelling;
DEF;Customer customer bankruptcy;Customer customer bankruptcy;Klant van klant faillissement;
DEF;Spec. samenwerkingsverb.;Spec. samenwerkingsverb.;Spec. samenwerkingsverb.;
DEF;Sole Proprietorship;Sole Proprietorship;Eenmanszaak;
DEF;Informal association;Informal association;Informele vereniging;
DEF;Shipping company;Shipping company;Rederij;
DEF;Partnership;Partnership;Maatschap;
DEF;General partnership;General partnership;VOF;
DEF;Limited partnership (one partner);Limited partnership (one partner);CV een vennoot;
DEF;Limited partnership (more partner);Limited partnership (more partner);CV meer vennoten;
DEF;owners Association;owners Association;vereniging van eigenaren;
DEF;Association;Association;Vereniging;
DEF;Limited association;Limited association;Beperkte vereniging;
DEF;Foundation;Foundation;Stichting;
DEF;Denomination;Denomination;Kerkgenootschap;
DEF;Denomination not Enabled.;Denomination not Enabled.;Kerkgenootschap niet ingesch.;
DEF;Cooperative;Cooperative;Cooperatie;
DEF;OWM;OWM;OWM;
DEF;Public limited company (Plc);Public limited company (Plc);BV;
DEF;Public limited company (Plc) i.o.;Public limited company (Plc) i.o.;BV i.o.;
DEF;Limited liability company (Ltd);Limited liability company (Ltd);NV;
DEF;Limited liability company (Ltd) i.o.;Limited liability company (Ltd) i.o.;NV i.o.;
DEF;Foreign business;Foreign business;Buitenlands bedrijf;
DEF;EU foreign business;EU foreign business;Buitenlands EG-bedrijf;
DEF;Foreign NV;Foreign NV;Buitenlandse NV;
DEF;Foreign BV;Foreign BV;Buitenlandse BV;
DEF;Other foreign;Other foreign;Overig Buitenlands;
DEF;Publ. right. organ;Publ. right. organ;Publ. recht. orgaan;
DEF;EEIG;EEIG;EESV;
DEF;Mini enterprise;Mini enterprise;Mini onderneming;
DEF;OV with legal personality;OV with legal personality;OV met rechtspersoonlijkheid;
DEF;CV with legal personality;CV with legal personality;CV met rechtspersoonlijkheid;
DEF;Quiet Company;Quiet Company;Stille Vennootschap;
DEF;Establishment of department;Establishment of department;Vestiging of afdeling;
DEF;Internal side;Internal side;Interne kant;
DEF;To be determined;To be determined;Nog nader te bepalen;
DEF;Inventory scenario;Inventory scenario;Kredietbehoefte;
service;STEP3SC;Step 3;Stap 3;
DEF;Purpose;Purpose;Doelstelling;
DEF;Purpose of credit need;Purpose of credit need;Waartoe dient de financiering?;
DEF;99:Make choice|0:Investment|1:Working Capital|2:Investment and Working Capital;99:Make choice|0:Investment|1:Working Capital|2:Investment and Working Capital;99:Maak keuze|0:Investering|1:Werkkapitaal|2:Investering en Werkkapitaal;
DEF;99:Make choice|0:Incremental inventory|1:Debtors|2:Creditors|3:Other operations;99:Make choice|0:Incremental inventory|1:Debtors|2:Creditors|3:Other operations;99:Maak keuze|0:Oplopende voorraden|1:Debiteuren|2:Crediteuren|3:Andere bedrijfsmiddelen;
DEF;99:Make choice|0:Innovation|1:Sustainability|2:Innovation and Sustainability;99:Make choice|0:Innovation|1:Sustainability|2:Innovation and Sustainability;99:Maak keuze|0:Innovation|1:Duurzaamheid|2:Innovatie en Duurzaamheid;
DEF;0:Choose funding goal|1:Debtors|2:Stocks|3:Asset / Inventory|4:Daily operations;0:Choose funding goal|1:Debtors|2:Stocks|3:Asset / Inventory|4:Daily operations;0:kies financieringsdoel|1:Debiteuren|2:Voorraden|3:Bedrijfsmiddelen/inventaris|4:Dagelijkse bedrijfsvoering;
DEF;0:Choose funding goal|1:Purchase of premises|2:Reconstruction premises (property)|3:Rebuild commercial (rental)|4:Other valuable goods items|5:Rolling Stock|6: Machines|7:Office Supplies|8:Medical equipment|9:Other;0:Choose funding goal|1:Purchase of premises|2:Reconstruction premises (property)|3:Rebuild commercial (rental)|4:Other valuable goods items|5:Rolling Stock|6: Machines|7:Office Supplies|8:Medical equipment|9:Other;0:kies financieringsdoel|1:Aankoop bedrijfspand|2:Verbouwing bedrijfspand (eigendom)|3:Verbouwing bedrijfspand (huur)|4:Overige pand en goederen items|5:Rollend materieel|6:Machines|7:Kantoor apparatuur|8:Medische apparatuur|9:Overig;
DEF;0:Choose funding goal|1:Rent Guarantee|2:Other guarantees;0:Choose funding goal|1:Rent Guarantee|2:Other guarantees;0:kies financieringsdoel|1:Huur garantie|2:Andere garanties;
DEF;0:Choose funding goal|1:Debtors|2:Inventories|3:Operational management;0:Choose funding goal|1:Debtors|2:Inventories|3:Operational management;0:kies financieringsdoel|1:Debiteuren|2:Voorraden|3:Dagelijkse bedrijfsvoering;
DEF;99:Choose location|0:Local|1:Regional|2:National|3:International   ;99:Choose location|0:Local|1:Regional|2:National|3:International;99:Kies locatie|0:Lokaal niveau|1:Regionaal niveau|2:Nationaal niveau|3:Internationaal niveau;
DEF;0:Poor|1:Adequately|2:Good ;0:Poor|1:Adequately|2:Good ;0:Matig|1:Afdoende|2:Goed;
DEF;0:Low|1:Acceptable|2:Good;0:Low|1:Acceptable|2:Good;0:Laag|1:Acceptabel|2:Goed;
DEF;0:Replacement|1:Expansion;0:Replacement|1:Expansion;0:Vervanging|1:Uitbreiding;
DEF;Is the investment aimed at growth;Is the investment aimed at growth;Is de investering / financiering gericht op groei?;
DEF;Where is the funding meant for;Where is the funding meant for;Waarvoor zijn de fondsen bestemd?;
DEF;Subjected to innovation, technologie or sustainability;Subjected to innovation, technologie or sustainability;Betreft het investeringen in innovatie of duurzaamheid?;
DEF;Does the activity increase the riskprofile;Does the activity increase the riskprofile;Wijzigt het risicoprofiel van de relatie?;
DEF;Additional Information;Additional Information;Toelichting;
DEF;Location;Location;Locatie;
DEF;It concerns;It concerns;Wordt de investering gedaan op dezelfde locatie?;
DEF;Business plan;Business plan;Business plan;
DEF;Is there a business plan;Is there a business plan;Is er een business plan?;
DEF;Quality of the business plan;Quality of the business plan;De kwaliteit van het business plan is;
DEF;Is there a clear revenue model;Is there a clear revenue model;Is er een duidelijk verdienmodel?;
DEF;Does it concern a non-recurring investment/change or expansion;Does it concern a non-recurring investment/change or expansion;Er is sprake van een eenmalige investering/verandering/uitbreiding;
DEF;Does the investment generate enough liquidity to facilitate financing charges;Does the investment generate enough liquidity to facilitate financing charges;Genereerd de investering/financiering voldoende extra cash om de toegenomen financieringslasten te voldoen?;
DEF;Is the business plan feasable;Is the business plan feasable;De haalbaarheid van het business plan is?;
DEF;Low;Low;Laag;
DEF;Acceptabel;Acceptabel;Acceptabel;
DEF;Good;Good;Goed/zeer goed;
DEF;Tenor;Tenor;Looptijd;
DEF;Date of financial need;Date of financial need;Gewenste aanvangsdatum voor de financiering;
DEF;Tenor in months;Tenor in months;Looptijd in maanden;
DEF;Analyses on annual figures;Analyses on annual figures;Analyse (jaar) cijfers;
DEF;Annual Figures;Annual Figures;Jaarcijfers;
DEF;Financial and Credit Need;Financial and Credit Need;Uitsplitsing financierings- behoefte;
DEF;What amount does the relation wants borrow?;What amount does the relation wants borrow?;Welk bedrag wilt u lenen?;
DEF;Divide the amount you want to borrow;Divide the amount you want to borrow;Verdeel uw leenbedrag over de doelen;
DEF;Operational management;Operational management;Dagelijkse bedrijfsvoering;
DEF;Inventory, equipment and transport;Inventory, equipment and transport;Inventaris, apparatuur en transportmiddelen;
DEF;Property and land;Property and land;Pand en grond;
DEF;Payment guarantee;Payment guarantee;Betalingsgarantie;
DEF;Diverence that still has to be balanced;Diverence that still has to be balanced;Het verschil dat nog verdeeld moet worden;
DEF;Total financing need;Total financing need;Totale financieringsbehoefte;
DEF;Debtors;Debtors;Debiteuren;
DEF;Inventory;Inventory;Voorraden;
DEF;Transport;Transport;Voertuigen;
DEF;Machinery;Machinery;Machines;
DEF;Office appliances;Office appliances;Kantoorapparatuur;
DEF;Medical appliances;Medical appliances;Medische apparatuur;
DEF;Acquisition real estate;Acquisition real estate;Aankoop bedrijfspand;
DEF;Refurbishment Office (Ownership basis);Refurbishment Office (Ownership basis);Verbouwing bedrijfspand (eigendom);
DEF;Refurbishment Office (rental basis);Refurbishment Office (rental basis);Verbouwing bedrijfspand (huur);
DEF;Rental Guarantee;Rental Guarantee;Huurgarantie;
DEF;Poor;Poor;Matig;
DEF;Average;Average;Gemiddeld;
DEF;Adequately;Adequately;Afdoende;
DEF;Choose location;Choose location;kies locatie;
DEF;Local;Local;Lokaal niveau;
DEF;Regional;Regional;Regionaal niveau;
DEF;National;National;Nationaal niveau;
DEF;International;International;Internationaal niveau;
DEF;Financing scenario;Financing scenario;Financierings- bronnen;
DEF;Financing need;Financing need;Financieringsbehoefte;
DEF;What is the new activity;What is the new activity;Wat is de nieuwe activiteit;
DEF;Other operations;Other operations;Andere bedrijfsmiddelen;
DEF;Incremental inventory;Incremental inventory;Oplopende voorraden;
DEF;Creditors;Creditors;Crediteuren;
DEF;You stated you want to borrow €;You stated you want to borrow €;U geeft aan €;
DEF;,-. Indicate below for what purpose you need this amount for.;,-. Indicate below for what purpose you need this amount for.;,-. te willen lenen. Geef hieronder aan voor welk doel of welke doelen u dit bedrag nodig heeft.;
DEF;Innovation;Innovation;Innovatie;
DEF;Business Activity;Business Activity;Bedrijfsactiviteit;
DEF;Sustainability;Sustainability;Duurzaamheid;
DEF;Financing Sources;Financing Sources;Financieringsbronnen;
DEF;TotalFinancing Need;Total financing need;Totale kredietbehoefte;
DEF;Source;Source;Bron;
DEF;Amount of source;Amount of source;Waarde;
DEF;Investment;Investment;Investering;
DEF;Working Capital;Working Capital;Werkkapitaal;
DEF;Working Capital goal;Working Capital goal;Werkkapitaal doel;
DEF;Off Balance goal;Off Balance goal;Off Balance doel;
DEF;Investment goal;Investment goal;Investeringsdoel;
DEF;Total;Total;Totaal;
DEF;Total Financing Need;Total financing need;Totale kredietbehoefte;
DEF;Investments;Investments;Investeringen;
DEF;Does it also serve a purpose for ;Does it also serve a purpose for ;Dient het ook deels voor ;
DEF;Replacement;Replacement;Vervanging;
DEF;Expansion;Expansion;Uitbreiding;
DEF;Does it involve replacement or expansion investment?;Does it involve replacement or expansion investment?;Gaat het om vervangings- of uitbreidingsinvestering?;
DEF;Does it provides additional return on the investment?;Does it provides additional return on the investment?;Levert de investering extra rendement op?;
DEF;Does the activity fit within the business activity, purpose or sector?;Does the activity fit within the business activity, purpose or sector?;Past de activiteit in de huidig bedrijfsactiviteiten en sector?;
DEF;Where is the credit for?;Where is the credit for?;Waar is het geld voor bedoeld?;
DEF;Is there a need for seasonal facilities?;Is there a need for seasonal facilities?;Is er behoefte aan seizoensgebonden faciliteiten?;
DEF;Seasonal pattern and duration;Seasonal pattern and duration;Seizoenspatroon en duur;
DEF;Is there a valid liquidity forecast;Is there a valid liquidity forecast;Is er een valide liquiditeits prognose?;
DEF;and;and;en;
DEF;Give financing goals;Give financing goals;Financieringsdoel;
DEF;Financing goal;Customer purpose;Klantdoel;
DEF;Credit Need Working Capital;Credit Need Working Capital;Kredietbehoefte Werkkapitaal;
DEF;Credit Need Investment;Credit Need Investment;Kredietbehoefte Investeringen;
DEF;Credit Need Off Balance;Credit Need Off Balance;Kredietbehoefte Off Balance;
DEF;Purposes;Purposes;Doelstellingen;
DEF;Need;Need;Behoefte;
DEF;Credit Need for selected Purpose;Credit Need for selected Purpose;Kredietbehoefte voor geselecteerde doelstelling;
DEF;Credit Need;Credit Need;Kredietbehoefte;
DEF;Explanation;Explanation;Toelichting;
DEF;Total Credit Need;Total credit need;Totale kredietbehoefte;
DEF;Open Forecast;"""Open Forecast""";"""Open Prognose""";
scorecard;no_history_available;There is no history availible;Er is geen history beschikbaar;
scorecard;ticket_creation_failed;Something went wrong (ticket creation);Er is iets misgegaan (ticket creëren);
prognose;open_ticketlink; ; ;
crm;xsds;XSDS;XSDS;
crm;files_xsds;XSDfiles;XSD bestanden;
prognose;please_wait_creating_project;Creating a project can take several minutes depending on the number of selected years;U kunt hier een nieuw prognoseproject aanmaken. Een project gebaseerd op periodes (maanden of 4-weekse periodes) kan maximaal 6 jaren bevatten. Een project gebaseerd op jaren kan maximaal 25 jaren bevatten.;
DEF;This page is Work In Progress.;This page is Work In Progress.;De inhoud van deze pagina moet nog gedefineerd worden.;
DEF;Financing Source;Financing Source;Financieringsbron;
DEF;Type;Type;Type;
DEF;1:Source 1|2:Source 2|3:Source 3|4:Source 4;1:Source 1|2:Source 2|3:Source 3|4:Source 4;1:Bron 1|2:Bron 2|3:Bron 3|4:Bron 4;
service;STEP3SC;Step 3;Stap 3;
prognose;step3sc_import_success;Capital shortfall has succesfully been exported to the Financingpage within the section non-banking sources.;De vermogensbehoefte is succesvol geexporteerd naar de Financieringspagina in de sectie niet bancaire bronnen.;
prognose;step3sc_import_failed;Capital shortfall has failed to be exported to the Financingpage within the section non-banking sources.;Het is mislukt om de vermogensbehoefte te exporteeren naar de Financieringspagina in de sectie niet bancaire bronnen.;
prognose;CapitalShortfall_SC_AlertTitle;The capital shortfall can be exported;De vermogensbehoefte kan geexporteerd worden;
prognose;CapitalShortfall_NoSC_AlertTitle;The capital shortfall cannot be exported, because you have not opened the Financingpage yet.;De vermogensbehoefte kan niet geexporteerd worden omdat u de Financieringspagina nog niet geopend heeft.;
DEF;Financing Targets;Customer purposes;Klantdoelen;
DEF;Financing Target;Customer purpose;Klantdoel;
DEF;Target;Target;Doel;
DEF;Specification of subgoal;Specification;Specificatie van subdoel;
DEF;Add Subgoal;Subtarget;Subdoel;
DEF;0:Please choose|1:Business establishment|2:Daily operations|3:Inventory, equipment and vehicles|4:Building and land|5:Innovation and sustainability|6:Organizational and structural change|7:Business Acquisition;0:Please choose|1:Business establishment|2:Daily operations|3:Inventory, equipment and vehicles|4:Building and land|5:Innovation and sustainability|6:Organizational and structural change|7:Business Acquisition;0:Maak een keuze|1:Bedrijfsstart |2:Dagelijkse bedrijfsvoering |3:Inventaris, apparatuur en transportmiddelen |4:Pand en grond |5:Innovatie en duurzaamheid |6:Organisatie- en structuurwijziging |7:Bedrijfsovername;
DEF;Within daily operation;Within daily operation;Valt binnen dagelijkse bedrijfsvoering;
DEF;Effective date;Effective date;Ingangsdatum;
DEF;Amount (Financing need);Amount (financing need);Bedrag (financieringsbehoefte);
DEF;Substantiation Goal;Substantiation goal;Onderbouwing doel;
forms;target_1_title;Business start;Bedrijfsstart;
forms;target_2_title;Daily operations;Dagelijkse bedrijfsvoering;
forms;target_3_title;Inventory, equipment and transport means;Inventaris, apparatuur en transportmiddelen;
forms;target_4_title;Building and land;Pand en grond;
